company_name|symbol|sector_name|subsector_name|listing_date
Liberty Flour Mills, Inc.|LFM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 25, 1985
LMG Corp.|LMG|INDUSTRIAL|CHEMICALS|January 07, 1986
Lodestar Investment Holdings Corporation|LODE|HOLDING FIRMS|HOLDING FIRMS|May 26, 1989
Pacific Online Systems Corporation|LOTO|SERVICES|CASINOS & GAMING|April 12, 2007
LFM Properties Corporation|LPC|SME|SME|November 09, 2022
Lopez Holdings Corporation|LPZ|HOLDING FIRMS|HOLDING FIRMS|November 25, 1993
Lorenzo Shipping Corporation|LSC|SERVICES|TRANSPORTATION SERVICES|July 22, 1996
LT Group, Inc.|LTG|HOLDING FIRMS|HOLDING FIRMS|November 07, 1947
Manila Mining Corporation ``A``|MA|MINING & OIL|MINING|December 17, 1959
Manila Mining Corporation ``B``|MAB|MINING & OIL|MINING|December 17, 1959
MacroAsia Corporation|MAC|SERVICES|TRANSPORTATION SERVICES|May 21, 1970
Macay Holdings, Inc.|MACAY|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|January 28, 1987
Metro Alliance Holdings & Equities Corp. ``A``|MAH|SERVICES|TRANSPORTATION SERVICES|December 08, 1947
Metro Alliance Holdings & Equities Corp. ``B``|MAHB|SERVICES|TRANSPORTATION SERVICES|December 08, 1947
Marcventures Holdings, Inc.|MARC|MINING & OIL|MINING|January 10, 1958
Max`s Group, Inc.|MAXS|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 15, 2000
Manila Bulletin Publishing Corporation|MB|SERVICES|MEDIA|April 18, 1990
Manila Broadcasting Company|MBC|SERVICES|MEDIA|October 08, 1949
Metropolitan Bank & Trust Company|MBT|FINANCIALS|BANKS|February 26, 1981
Medco Holdings, Inc.|MED|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|November 18, 1975
Medilines Distributors Incorporated|MEDIC|SERVICES|OTHER SERVICES|December 07, 2021
Megaworld Corporation|MEG|PROPERTY|PROPERTY|June 15, 1994
Manila Electric Company|MER|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|January 08, 1992
Manulife Financial Corporation|MFC|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|September 27, 1999
Makati Finance Corporation|MFIN|SME|SME|January 06, 2003
Millennium Global Holdings, Inc.|MG|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 01, 1976
Metro Global Holdings Corporation|MGH|HOLDING FIRMS|HOLDING FIRMS|May 04, 1964
Mabuhay Holdings Corporation|MHC|HOLDING FIRMS|HOLDING FIRMS|October 22, 1990
Manila Jockey Club, Inc.|MJC|SERVICES|CASINOS & GAMING|October 11, 1963
MJC Investments Corporation|MJIC|SERVICES|CASINOS & GAMING|November 11, 1955
MerryMart Consumer Corp.|MM|SME|SME|June 15, 2020
Monde Nissin Corporation|MONDE|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|June 01, 2021
MRC Allied, Inc.|MRC|PROPERTY|PROPERTY|May 18, 1995
MREIT, Inc.|MREIT|PROPERTY|PROPERTY|October 01, 2021
Metro Retail Stores Group, Inc.|MRSGI|SERVICES|RETAIL|November 24, 2015
Mabuhay Vinyl Corporation|MVC|INDUSTRIAL|CHEMICALS|February 05, 1997
Manila Water Company, Inc.|MWC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|March 18, 2005
Megawide Construction Corporation|MWIDE|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|February 18, 2011
Megawide Construction Corporation Perpetual Preferred Shares|MWP|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 03, 2014
Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2A``|MWP2A|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|November 27, 2020
Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2B``|MWP2B|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|November 27, 2020
Megawide Construction Corporation Non-Voting Perpetual Series 4 Preferred Shares|MWP4|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|October 29, 2021
Megawide Construction Corporation Non-Voting Perpetual Series 5 Preferred Shares|MWP5|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|April 17, 2023
NiHAO Mineral Resources International, Inc.|NI|MINING & OIL|MINING|October 03, 1990
Nickel Asia Corporation|NIKL|MINING & OIL|MINING|November 22, 2010
Now Corporation|NOW|SERVICES|INFORMATION TECHNOLOGY|July 23, 2003
National Reinsurance Corporation of the Philippines|NRCP|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|April 27, 2007
NextGenesis Corporation|NXGEN|FINANCIALS|BANKS|October 08, 1996
Omico Corporation|OM|PROPERTY|PROPERTY|May 02, 1969
Oriental Petroleum and Minerals Corporation ``A``|OPM|MINING & OIL|OIL|October 14, 1970
Oriental Petroleum and Minerals Corporation ``B``|OPMB|MINING & OIL|OIL|October 14, 1970
Oriental Peninsula Resources Group, Inc.|ORE|MINING & OIL|MINING|December 19, 2007
The Philodrill Corporation|OV|MINING & OIL|OIL|September 25, 1969
Pacifica Holdings, Inc.|PA|HOLDING FIRMS|HOLDING FIRMS|November 23, 1959
PAL Holdings, Inc.|PAL|SERVICES|TRANSPORTATION SERVICES|January 04, 1954
Paxys, Inc.|PAX|SERVICES|OTHER SERVICES|October 05, 1972
Philippine Business Bank, Inc., A Savings Bank|PBB|FINANCIALS|BANKS|February 19, 2013
Philippine Bank of Communications|PBC|FINANCIALS|BANKS|May 12, 1988
Petron Corporation|PCOR|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|September 07, 1994
PICOP RESOURCES, INC.|PCP|||October 29, 1973
PetroEnergy Resources Corporation|PERC|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|August 11, 2004
Puregold Price Club, Inc.|PGOLD|SERVICES|RETAIL|October 05, 2011
Premiere Horizon Alliance Corporation|PHA|SERVICES|OTHER SERVICES|May 05, 1997
Philcomsat Holdings Corporation|PHC|SERVICES|OTHER SERVICES|November 28, 1958
Philippine Estates Corporation|PHES|PROPERTY|PROPERTY|January 21, 1985
Phinma Corporation|PHN|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|August 18, 1958
PH Resorts Group Holdings, Inc.|PHR|SERVICES|CASINOS & GAMING|November 24, 2011
Shakey`s Pizza Asia Ventures Inc.|PIZZA|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 15, 2016
Premium Leisure Corp.|PLC|SERVICES|CASINOS & GAMING|August 28, 1995
DigiPlus Interactive Corp.|PLUS|SERVICES|CASINOS & GAMING|April 17, 1958
Panasonic Manufacturing Philippines Corporation|PMPC|INDUSTRIAL|ELECTRICAL COMPONENTS & EQUIP.|January 21, 1983
Philippine National Bank|PNB|FINANCIALS|BANKS|June 21, 1989
Philippine National Construction Corporation|PNC|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|March 13, 1974
P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC.|PNX|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|July 11, 2007
P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3A`` Preferred Shares|PNX3A|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|December 18, 2015
P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3B`` Preferred Shares|PNX3B|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|December 18, 2015
P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares Series ``4``|PNX4|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|November 07, 2019
P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares|PNXP|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|January 08, 2015
Globalport 900, Inc.|PORT|SERVICES|TRANSPORTATION SERVICES|June 09, 1948
Pryce Corporation|PPC|INDUSTRIAL|CHEMICALS|October 29, 1991
Philippine Racing Club, Inc.|PRC|SERVICES|CASINOS & GAMING|March 02, 1952
Premiere Island Power REIT Corporation|PREIT|PROPERTY|PROPERTY|December 15, 2022
